contrast,metric,mean_A,mean_B,paired_delta,boot_ci_lo,boot_ci_hi,wilcoxon_p,holm_q,rank_biserial_r,n_total,n_nonzero
Base→SFT|k0|llama-3.2-3b,ROUGE1_R,0.510547,0.595291,0.084744,0.066395,0.102693,0.000000,0.000000,0.561955,391,381
Base→SFT|k0|llama-3.2-3b,ROUGE1_F1,0.466795,0.557654,0.090859,0.067130,0.114572,0.000000,0.000000,0.486560,391,391
Base→SFT|k0|llama-3.2-3b,SBERT,0.825447,0.861506,0.036059,0.021639,0.051186,0.000000,0.000000,0.454042,391,391
Base→SFT|k0|llama-3.2-3b,CTQRS,0.717231,0.741208,0.023977,0.007992,0.039802,0.001465,0.444018,0.203115,391,319
Base→SFT|k0|llama-3.2-3b,ROUGE1_R_NORM,0.519017,0.609774,0.090757,0.072992,0.108707,0.000000,0.000000,0.576067,391,382
Base→SFT|k0|llama-3.2-3b,ROUGE1_F1_NORM,0.466897,0.568300,0.101402,0.077625,0.125037,0.000000,0.000000,0.508508,391,391
Base→SFT|k0|llama-3.2-3b,SBERT_NORM,0.809165,0.852118,0.042953,0.027977,0.058195,0.000000,0.000000,0.454747,391,391
Base→SFT|k0|llama-3.2-3b,SecFilled,0.835038,0.632992,-0.202046,-0.257033,-0.147698,0.000000,0.000000,-0.507613,391,213
Base→SFT|k0|llama-3.2-3b,SecPresence,0.902813,0.648338,-0.254476,-0.308824,-0.198849,0.000000,0.000000,-0.612997,391,165
Base→SFT|k0|llama-3.2-3b,CondFilledRate,0.692668,0.607076,-0.085592,-0.125835,-0.044585,0.000004,0.001388,-0.367893,391,207
Base→SFT|k0|llama-3.2-3b,UAHE_per_1kTok,0.963651,12.356835,11.393184,10.598321,12.185897,0.000000,0.000000,0.982111,391,388
Base→SFT|k0|llama-3.2-3b,UAHE_Total,0.289003,4.258312,3.969309,3.539642,4.473146,0.000000,0.000000,0.991777,391,378
Base→SFT|k0|llama-3.2-3b,ContextSupportRate,0.440448,0.217364,-0.223084,-0.263618,-0.183975,0.000000,0.000000,-0.726275,391,238
Base→SFT|k0|llama-3.2-3b,ContextUnattributedRate,0.117097,0.782636,0.665539,0.629607,0.700968,0.000000,0.000000,0.983121,391,368
Base→SFT|dense_k1|llama-3.2-3b,ROUGE1_R,0.397604,0.600575,0.202971,0.175963,0.229722,0.000000,0.000000,0.705208,391,384
Base→SFT|dense_k1|llama-3.2-3b,ROUGE1_F1,0.317016,0.548735,0.231718,0.207924,0.255669,0.000000,0.000000,0.830132,391,391
Base→SFT|dense_k1|llama-3.2-3b,SBERT,0.642930,0.815014,0.172084,0.147525,0.196356,0.000000,0.000000,0.689206,391,391
Base→SFT|dense_k1|llama-3.2-3b,CTQRS,0.568894,0.763427,0.194533,0.171196,0.218510,0.000000,0.000000,0.791785,391,352
Base→SFT|dense_k1|llama-3.2-3b,ROUGE1_R_NORM,0.407973,0.615422,0.207449,0.179650,0.235339,0.000000,0.000000,0.707341,391,385
Base→SFT|dense_k1|llama-3.2-3b,ROUGE1_F1_NORM,0.319757,0.561386,0.241630,0.217899,0.265383,0.000000,0.000000,0.842763,391,391
Base→SFT|dense_k1|llama-3.2-3b,SBERT_NORM,0.633398,0.806727,0.173329,0.149572,0.197255,0.000000,0.000000,0.692390,391,391
Base→SFT|dense_k1|llama-3.2-3b,SecFilled,0.399616,0.567775,0.168159,0.104859,0.231458,0.000000,0.000114,0.383979,391,215
Base→SFT|dense_k1|llama-3.2-3b,SecPresence,0.484655,0.575448,0.090793,0.021100,0.159207,0.008290,1.000000,0.192939,391,203
Base→SFT|dense_k1|llama-3.2-3b,CondFilledRate,0.429156,0.566496,0.137340,0.090963,0.183504,0.000000,0.000021,0.423908,391,214
Base→SFT|dense_k1|llama-3.2-3b,UAHE_per_1kTok,1.056214,4.314212,3.257998,2.618425,3.906368,0.000000,0.000000,0.756654,391,262
Base→SFT|dense_k1|llama-3.2-3b,UAHE_Total,0.432225,1.542199,1.109974,0.741688,1.480882,0.000000,0.000000,0.781432,391,244
Base→SFT|dense_k1|llama-3.2-3b,ContextSupportRate,0.388960,0.728298,0.339338,0.286415,0.392490,0.000000,0.000000,0.689283,391,319
Base→SFT|dense_k1|llama-3.2-3b,ContextUnattributedRate,0.104646,0.269144,0.164498,0.125871,0.203855,0.000000,0.000000,0.568546,391,257
SFT→DPO_free_bal|k0|llama-3.2-3b,ROUGE1_R,0.595291,0.475946,-0.119345,-0.134697,-0.103823,0.000000,0.000000,-0.757059,391,390
SFT→DPO_free_bal|k0|llama-3.2-3b,ROUGE1_F1,0.557654,0.562954,0.005299,-0.015149,0.025501,0.025857,1.000000,-0.130043,391,391
SFT→DPO_free_bal|k0|llama-3.2-3b,SBERT,0.861506,0.862029,0.000524,-0.009762,0.011567,0.001965,0.589528,-0.180646,391,391
SFT→DPO_free_bal|k0|llama-3.2-3b,CTQRS,0.741208,0.646579,-0.094629,-0.108216,-0.081202,0.000000,0.000000,-0.734900,391,334
SFT→DPO_free_bal|k0|llama-3.2-3b,ROUGE1_R_NORM,0.609774,0.484243,-0.125531,-0.140656,-0.110041,0.000000,0.000000,-0.768730,391,389
SFT→DPO_free_bal|k0|llama-3.2-3b,ROUGE1_F1_NORM,0.568300,0.566762,-0.001538,-0.021615,0.018886,0.004156,1.000000,-0.167258,391,391
SFT→DPO_free_bal|k0|llama-3.2-3b,SBERT_NORM,0.852118,0.846608,-0.005510,-0.016467,0.006109,0.000172,0.055576,-0.219244,391,391
SFT→DPO_free_bal|k0|llama-3.2-3b,SecFilled,0.632992,0.945013,0.312020,0.269821,0.355499,0.000000,0.000000,0.951086,391,179
SFT→DPO_free_bal|k0|llama-3.2-3b,SecPresence,0.648338,0.998721,0.350384,0.305627,0.395780,0.000000,0.000000,0.999284,391,149
SFT→DPO_free_bal|k0|llama-3.2-3b,CondFilledRate,0.607076,0.779241,0.172165,0.143478,0.202771,0.000000,0.000000,0.899157,391,171
SFT→DPO_free_bal|k0|llama-3.2-3b,UAHE_per_1kTok,12.356835,1.536371,-10.820464,-11.613752,-10.055122,0.000000,0.000000,-0.964722,391,389
SFT→DPO_free_bal|k0|llama-3.2-3b,UAHE_Total,4.258312,0.324808,-3.933504,-4.432225,-3.501279,0.000000,0.000000,-0.998327,391,383
SFT→DPO_free_bal|k0|llama-3.2-3b,ContextSupportRate,0.217364,0.407021,0.189657,0.154667,0.226276,0.000000,0.000000,0.694247,391,228
SFT→DPO_free_bal|k0|llama-3.2-3b,ContextUnattributedRate,0.782636,0.127506,-0.655130,-0.690643,-0.619693,0.000000,0.000000,-0.989841,391,367
SFT→DPO_free_bal|dense_k1|llama-3.2-3b,ROUGE1_R,0.600575,0.497921,-0.102655,-0.117761,-0.087162,0.000000,0.000000,-0.762789,391,385
SFT→DPO_free_bal|dense_k1|llama-3.2-3b,ROUGE1_F1,0.548735,0.551773,0.003038,-0.014522,0.021108,0.223337,1.000000,-0.071063,391,391
SFT→DPO_free_bal|dense_k1|llama-3.2-3b,SBERT,0.815014,0.824541,0.009527,-0.004481,0.023128,0.057477,1.000000,0.110862,391,391
SFT→DPO_free_bal|dense_k1|llama-3.2-3b,CTQRS,0.763427,0.671995,-0.091432,-0.105339,-0.077366,0.000000,0.000000,-0.692073,391,347
SFT→DPO_free_bal|dense_k1|llama-3.2-3b,ROUGE1_R_NORM,0.615422,0.505235,-0.110187,-0.125418,-0.094904,0.000000,0.000000,-0.777633,391,383
SFT→DPO_free_bal|dense_k1|llama-3.2-3b,ROUGE1_F1_NORM,0.561386,0.556464,-0.004922,-0.022843,0.013304,0.014041,1.000000,-0.143524,391,390
SFT→DPO_free_bal|dense_k1|llama-3.2-3b,SBERT_NORM,0.806727,0.810903,0.004175,-0.010045,0.018262,0.393774,1.000000,0.049768,391,391
SFT→DPO_free_bal|dense_k1|llama-3.2-3b,SecFilled,0.567775,0.938619,0.370844,0.325448,0.416240,0.000000,0.000000,0.968374,391,186
SFT→DPO_free_bal|dense_k1|llama-3.2-3b,SecPresence,0.575448,0.978261,0.402813,0.355499,0.450128,0.000000,0.000000,0.982794,391,176
SFT→DPO_free_bal|dense_k1|llama-3.2-3b,CondFilledRate,0.566496,0.774638,0.208142,0.176172,0.240410,0.000000,0.000000,0.929969,391,187
SFT→DPO_free_bal|dense_k1|llama-3.2-3b,UAHE_per_1kTok,4.314212,1.582464,-2.731748,-3.310101,-2.174893,0.000000,0.000000,-0.699570,391,250
SFT→DPO_free_bal|dense_k1|llama-3.2-3b,UAHE_Total,1.542199,0.358056,-1.184143,-1.506394,-0.933504,0.000000,0.000000,-0.892857,391,216
SFT→DPO_free_bal|dense_k1|llama-3.2-3b,ContextSupportRate,0.728298,0.531319,-0.196979,-0.243381,-0.150018,0.000000,0.000000,-0.480251,391,286
SFT→DPO_free_bal|dense_k1|llama-3.2-3b,ContextUnattributedRate,0.269144,0.115740,-0.153405,-0.188171,-0.118353,0.000000,0.000000,-0.615762,391,245
SFT→DPO_aware_bal|k0|llama-3.2-3b,ROUGE1_R,0.595291,0.434828,-0.160463,-0.176159,-0.144129,0.000000,0.000000,-0.836960,391,388
SFT→DPO_aware_bal|k0|llama-3.2-3b,ROUGE1_F1,0.557654,0.519017,-0.038637,-0.060695,-0.016560,0.000000,0.000160,-0.295083,391,391
SFT→DPO_aware_bal|k0|llama-3.2-3b,SBERT,0.861506,0.845799,-0.015707,-0.027720,-0.003558,0.000000,0.000007,-0.328410,391,391
SFT→DPO_aware_bal|k0|llama-3.2-3b,CTQRS,0.741208,0.643702,-0.097506,-0.114610,-0.080403,0.000000,0.000000,-0.646579,391,344
SFT→DPO_aware_bal|k0|llama-3.2-3b,ROUGE1_R_NORM,0.609774,0.442559,-0.167215,-0.182691,-0.151547,0.000000,0.000000,-0.844187,391,390
SFT→DPO_aware_bal|k0|llama-3.2-3b,ROUGE1_F1_NORM,0.568300,0.522724,-0.045576,-0.067808,-0.022445,0.000000,0.000016,-0.320480,391,390
