axis,model,context,metric,tau_b,tau_p,holm_q,boot_ci_lo,boot_ci_hi,n,n_levels
k_value,llama-3.2-3b,sft_dense_similar,ROUGE1_R,0.007923,0.724738,1.000000,-0.035121,0.051482,1173,3
k_value,llama-3.2-3b,sft_dense_similar,ROUGE1_F1,0.014425,0.521412,1.000000,-0.029056,0.057363,1173,3
k_value,llama-3.2-3b,sft_dense_similar,SBERT,-0.085759,0.000138,0.008824,-0.128492,-0.043803,1173,3
k_value,llama-3.2-3b,sft_dense_similar,CTQRS,0.033555,0.160340,1.000000,-0.013739,0.081189,1173,3
k_value,llama-3.2-3b,sft_dense_similar,ROUGE1_R_NORM,0.006787,0.762938,1.000000,-0.036850,0.048871,1173,3
k_value,llama-3.2-3b,sft_dense_similar,ROUGE1_F1_NORM,0.017319,0.441409,1.000000,-0.025856,0.060648,1173,3
k_value,llama-3.2-3b,sft_dense_similar,SBERT_NORM,-0.080761,0.000331,0.020517,-0.123241,-0.037786,1173,3
k_value,llama-3.2-3b,sft_dense_similar,SecFilled,-0.050146,0.058000,1.000000,-0.101668,0.000732,1173,3
k_value,llama-3.2-3b,sft_dense_similar,CondFilledRate,-0.036100,0.145804,1.000000,-0.084453,0.011370,1173,3
k_value,llama-3.2-3b,sft_dense_similar,UAHE_per_1kTok,-0.349142,0.000000,0.000000,-0.387920,-0.309517,1173,3
k_value,llama-3.2-3b,sft_dense_similar,UAHE_Total,-0.389597,0.000000,0.000000,-0.428788,-0.349216,1173,3
k_value,llama-3.2-3b,sft_dense_similar,ContextSupportRate,0.437719,0.000000,0.000000,0.399419,0.474253,1173,3
k_value,mistral-7b-v0.3,sft_dense_similar,ROUGE1_R,0.035404,0.115636,1.000000,-0.009197,0.079627,1173,3
k_value,mistral-7b-v0.3,sft_dense_similar,ROUGE1_F1,-0.036925,0.100739,1.000000,-0.080936,0.007570,1173,3
k_value,mistral-7b-v0.3,sft_dense_similar,SBERT,-0.087025,0.000110,0.007342,-0.130467,-0.044377,1173,3
k_value,mistral-7b-v0.3,sft_dense_similar,CTQRS,0.057104,0.016785,0.755314,0.010781,0.103519,1173,3
k_value,mistral-7b-v0.3,sft_dense_similar,ROUGE1_R_NORM,0.035272,0.116998,1.000000,-0.008794,0.078520,1173,3
k_value,mistral-7b-v0.3,sft_dense_similar,ROUGE1_F1_NORM,-0.034893,0.120913,1.000000,-0.078680,0.008614,1173,3
k_value,mistral-7b-v0.3,sft_dense_similar,SBERT_NORM,-0.070133,0.001824,0.102166,-0.113675,-0.026987,1173,3
k_value,mistral-7b-v0.3,sft_dense_similar,SecFilled,0.020960,0.430979,1.000000,-0.031503,0.072839,1173,3
k_value,mistral-7b-v0.3,sft_dense_similar,CondFilledRate,0.007806,0.754646,1.000000,-0.040470,0.056682,1173,3
k_value,mistral-7b-v0.3,sft_dense_similar,UAHE_per_1kTok,-0.317292,0.000000,0.000000,-0.355623,-0.278064,1173,3
k_value,mistral-7b-v0.3,sft_dense_similar,UAHE_Total,-0.299040,0.000000,0.000000,-0.339516,-0.257542,1173,3
k_value,mistral-7b-v0.3,sft_dense_similar,ContextSupportRate,0.366810,0.000000,0.000000,0.326849,0.405792,1173,3
k_value,qwen2.5-7b,sft_dense_similar,ROUGE1_R,0.055580,0.013511,0.648538,0.012665,0.098038,1173,3
k_value,qwen2.5-7b,sft_dense_similar,ROUGE1_F1,0.017761,0.429849,1.000000,-0.025446,0.061391,1173,3
k_value,qwen2.5-7b,sft_dense_similar,SBERT,0.002919,0.896761,1.000000,-0.040924,0.046649,1173,3
k_value,qwen2.5-7b,sft_dense_similar,CTQRS,0.053942,0.023956,1.000000,0.007115,0.100582,1173,3
k_value,qwen2.5-7b,sft_dense_similar,ROUGE1_R_NORM,0.057030,0.011263,0.551868,0.014265,0.099432,1173,3
k_value,qwen2.5-7b,sft_dense_similar,ROUGE1_F1_NORM,0.014414,0.521720,1.000000,-0.027130,0.057377,1173,3
k_value,qwen2.5-7b,sft_dense_similar,SBERT_NORM,-0.006244,0.781351,1.000000,-0.049147,0.037326,1173,3
k_value,qwen2.5-7b,sft_dense_similar,SecFilled,0.022038,0.410820,1.000000,-0.031259,0.074707,1173,3
k_value,qwen2.5-7b,sft_dense_similar,CondFilledRate,0.003767,0.880234,1.000000,-0.045940,0.052341,1173,3
k_value,qwen2.5-7b,sft_dense_similar,UAHE_per_1kTok,-0.300285,0.000000,0.000000,-0.338441,-0.261867,1173,3
k_value,qwen2.5-7b,sft_dense_similar,UAHE_Total,-0.270769,0.000000,0.000000,-0.312441,-0.228297,1173,3
k_value,qwen2.5-7b,sft_dense_similar,ContextSupportRate,0.335253,0.000000,0.000000,0.295218,0.373673,1173,3
adapter_progression,llama-3.2-3b,k0,ROUGE1_R,-0.065238,0.003740,0.201943,-0.106363,-0.023363,1173,3
adapter_progression,llama-3.2-3b,k0,ROUGE1_F1,0.170860,0.000000,0.000000,0.131379,0.210324,1173,3
adapter_progression,llama-3.2-3b,k0,SBERT,0.109818,0.000001,0.000076,0.067495,0.152044,1173,3
adapter_progression,llama-3.2-3b,k0,CTQRS,-0.195032,0.000000,0.000000,-0.237596,-0.152769,1173,3
adapter_progression,llama-3.2-3b,k0,ROUGE1_R_NORM,-0.062781,0.005270,0.274019,-0.103241,-0.021500,1173,3
adapter_progression,llama-3.2-3b,k0,ROUGE1_F1_NORM,0.174845,0.000000,0.000000,0.135972,0.213853,1173,3
adapter_progression,llama-3.2-3b,k0,SBERT_NORM,0.106036,0.000002,0.000171,0.064504,0.148496,1173,3
adapter_progression,llama-3.2-3b,k0,SecFilled,0.101506,0.000114,0.007492,0.059379,0.144664,1173,3
adapter_progression,llama-3.2-3b,k0,CondFilledRate,0.093360,0.000215,0.013561,0.048887,0.137105,1173,3
adapter_progression,llama-3.2-3b,k0,UAHE_per_1kTok,0.027771,0.256630,1.000000,-0.021031,0.077470,1173,3
adapter_progression,llama-3.2-3b,k0,UAHE_Total,0.011028,0.660605,1.000000,-0.040417,0.061933,1173,3
adapter_progression,llama-3.2-3b,k0,ContextSupportRate,-0.024733,0.323293,1.000000,-0.084025,0.033583,1173,3
adapter_progression,llama-3.2-3b,dense_k1,ROUGE1_R,0.118470,0.000000,0.000010,0.071638,0.163342,1173,3
adapter_progression,llama-3.2-3b,dense_k1,ROUGE1_F1,0.327919,0.000000,0.000000,0.289766,0.365267,1173,3
adapter_progression,llama-3.2-3b,dense_k1,SBERT,0.284918,0.000000,0.000000,0.245903,0.323825,1173,3
adapter_progression,llama-3.2-3b,dense_k1,CTQRS,0.131453,0.000000,0.000002,0.084113,0.178251,1173,3
adapter_progression,llama-3.2-3b,dense_k1,ROUGE1_R_NORM,0.110818,0.000001,0.000061,0.064904,0.157336,1173,3
adapter_progression,llama-3.2-3b,dense_k1,ROUGE1_F1_NORM,0.324173,0.000000,0.000000,0.287326,0.360390,1173,3
adapter_progression,llama-3.2-3b,dense_k1,SBERT_NORM,0.276807,0.000000,0.000000,0.235764,0.316128,1173,3
adapter_progression,llama-3.2-3b,dense_k1,SecFilled,0.418739,0.000000,0.000000,0.378135,0.458703,1173,3
adapter_progression,llama-3.2-3b,dense_k1,CondFilledRate,0.357150,0.000000,0.000000,0.316618,0.397151,1173,3
adapter_progression,llama-3.2-3b,dense_k1,UAHE_per_1kTok,0.054820,0.030192,1.000000,0.007881,0.101418,1173,3
adapter_progression,llama-3.2-3b,dense_k1,UAHE_Total,0.032837,0.207483,1.000000,-0.013538,0.078638,1173,3
adapter_progression,llama-3.2-3b,dense_k1,ContextSupportRate,0.111994,0.000007,0.000479,0.055670,0.167695,1173,3
adapter_progression,mistral-7b-v0.3,k0,ROUGE1_R,-0.075655,0.000774,0.047206,-0.114637,-0.036895,1173,3
adapter_progression,mistral-7b-v0.3,k0,ROUGE1_F1,0.055212,0.014124,0.663840,0.017020,0.094066,1173,3
