pool,margin,quality_floor,uahe_cap,min_cond_filled,prompts_total,prompts_kept,pairs,pass_rate,reject_no_valid_reject,reject_min_cond,reject_uahe_cap,reject_below_quality_floor
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,-1.0,0.0,3139,2153,2153,0.6859,986,,,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,-1.0,0.3,3139,2150,2150,0.6849,774,215.0,,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,-1.0,0.5,3139,1683,1683,0.5362,391,1065.0,,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,-1.0,0.6,3139,1670,1670,0.532,388,1081.0,,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,-1.0,0.7,3139,1670,1670,0.532,388,1081.0,,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,3.0,0.0,3139,1210,1210,0.3855,291,,1638.0,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,3.0,0.3,3139,1207,1207,0.3845,217,77.0,1638.0,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,3.0,0.5,3139,764,764,0.2434,149,588.0,1638.0,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,3.0,0.6,3139,760,760,0.2421,149,592.0,1638.0,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,3.0,0.7,3139,760,760,0.2421,149,592.0,1638.0,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,5.0,0.0,3139,1539,1539,0.4903,364,,1236.0,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,5.0,0.3,3139,1536,1536,0.4893,258,109.0,1236.0,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,5.0,0.5,3139,1086,1086,0.346,153,664.0,1236.0,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,5.0,0.6,3139,1077,1077,0.3431,152,674.0,1236.0,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,5.0,0.7,3139,1077,1077,0.3431,152,674.0,1236.0,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,10.0,0.0,3139,2058,2058,0.6556,521,,560.0,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,10.0,0.3,3139,2055,2055,0.6547,367,157.0,560.0,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,10.0,0.5,3139,1588,1588,0.5059,168,823.0,560.0,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,10.0,0.6,3139,1575,1575,0.5018,167,837.0,560.0,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,10.0,0.7,3139,1575,1575,0.5018,167,837.0,560.0,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,15.0,0.0,3139,2114,2114,0.6735,716,,309.0,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,15.0,0.3,3139,2111,2111,0.6725,530,189.0,309.0,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,15.0,0.5,3139,1644,1644,0.5237,248,938.0,309.0,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,15.0,0.6,3139,1631,1631,0.5196,246,953.0,309.0,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.0,15.0,0.7,3139,1631,1631,0.5196,246,953.0,309.0,
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,-1.0,0.0,3139,2131,2131,0.6789,435,,,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,-1.0,0.3,3139,2128,2128,0.6779,435,3.0,,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,-1.0,0.5,3139,1682,1682,0.5358,389,495.0,,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,-1.0,0.6,3139,1670,1670,0.532,388,508.0,,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,-1.0,0.7,3139,1670,1670,0.532,388,508.0,,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,3.0,0.0,3139,1190,1190,0.3791,195,,1181.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,3.0,0.3,3139,1187,1187,0.3781,195,3.0,1181.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,3.0,0.5,3139,764,764,0.2434,149,472.0,1181.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,3.0,0.6,3139,760,760,0.2421,149,476.0,1181.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,3.0,0.7,3139,760,760,0.2421,149,476.0,1181.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,5.0,0.0,3139,1519,1519,0.4839,199,,848.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,5.0,0.3,3139,1516,1516,0.483,199,3.0,848.0,573.0
dpo_pairs_llama-3.2-3b_seed42_balanced_retrieval_aware_emse_re_eval_final_retrieval_aware_balanced_99f790af75d3_20260227_205117,0.01,0.05,5.0,0.5,3139,1086,1086,0.346,153,479.0,848.0,573.0
