model,adapter_type,pref_profile,align_context,retriever_type,retriever_mode,k,template,retrieval_mask,seed,CTQRS_mean,CTQRS_ci_lo,CTQRS_ci_hi,ROUGE1_R_mean,ROUGE1_R_ci_lo,ROUGE1_R_ci_hi,ROUGE1_F1_mean,ROUGE1_F1_ci_lo,ROUGE1_F1_ci_hi,SBERT_mean,SBERT_ci_lo,SBERT_ci_hi,ROUGE1_R_NORM_mean,ROUGE1_R_NORM_ci_lo,ROUGE1_R_NORM_ci_hi,ROUGE1_F1_NORM_mean,ROUGE1_F1_NORM_ci_lo,ROUGE1_F1_NORM_ci_hi,SBERT_NORM_mean,SBERT_NORM_ci_lo,SBERT_NORM_ci_hi,SecFilled_mean,SecFilled_ci_lo,SecFilled_ci_hi,SecPresence_mean,SecPresence_ci_lo,SecPresence_ci_hi,PlaceholderRate_mean,PlaceholderRate_ci_lo,PlaceholderRate_ci_hi,UnknownRate_mean,UnknownRate_ci_lo,UnknownRate_ci_hi,UAHE_Total_mean,UAHE_Total_ci_lo,UAHE_Total_ci_hi,IUHE_Total_mean,IUHE_Total_ci_lo,IUHE_Total_ci_hi,RAHE_Total_mean,RAHE_Total_ci_lo,RAHE_Total_ci_hi,UAHE_per_1kTok_mean,UAHE_per_1kTok_ci_lo,UAHE_per_1kTok_ci_hi,IUHE_per_1kTok_mean,IUHE_per_1kTok_ci_lo,IUHE_per_1kTok_ci_hi,RAHE_per_1kTok_mean,RAHE_per_1kTok_ci_lo,RAHE_per_1kTok_ci_hi,TransferRate_mean,TransferRate_ci_lo,TransferRate_ci_hi,ContextSupportRate_mean,ContextSupportRate_ci_lo,ContextSupportRate_ci_hi,ContextUnattributedRate_mean,ContextUnattributedRate_ci_lo,ContextUnattributedRate_ci_hi,CondFilledRate_mean,CondFilledRate_ci_lo,CondFilledRate_ci_hi,SignalFilledRate_mean,SignalFilledRate_ci_lo,SignalFilledRate_ci_hi,NoSignalFilledRate_mean,NoSignalFilledRate_ci_lo,NoSignalFilledRate_ci_hi,n
llama-3.2-3b,base,none,none,dense,similar,1,on,none,42,0.5688938618925832,0.5485933503836317,0.5887148337595908,0.39760402419638347,0.3738134549102119,0.4219507375863784,0.3170163172509923,0.29938051571895724,0.33483160980812876,0.6429300652221417,0.6210065785404819,0.6648483015168125,0.4079726695151223,0.38361978695090854,0.43252508379792604,0.31975670040378634,0.3019864766080837,0.33765954747991256,0.6333979589726462,0.6115984358655675,0.6552672976975703,0.39961636828644503,0.3523017902813299,0.4462915601023018,0.4846547314578005,0.4354219948849105,0.5338874680306905,0.5198209718670077,0.46994884910485935,0.569693094629156,0.5882352941176471,0.540920716112532,0.6355498721227621,0.4322250639386189,0.2531969309462916,0.6777493606138107,1.1815856777493605,0.9156010230179028,1.4936061381074168,0.7493606138107417,0.5652173913043478,0.9539641943734015,1.056214043794692,0.7470047191037581,1.412845096715493,2.735274745951685,2.2274424095340715,3.290671813580313,1.6790607021569939,1.280570279906666,2.1183215923608945,0.21094079265434762,0.1731175474142226,0.2506722320021553,0.38895993179880645,0.3439045183290708,0.4339087809036658,0.10464620630861039,0.07968172776356919,0.1312588803637397,0.42915601023017885,0.39607843137254883,0.4627024722932655,0.40345268542199497,0.3563512361466326,0.45098039215686264,0.731457800511509,0.6879795396419437,0.7749360613810742,391
llama-3.2-3b,base,none,none,none,none,0,on,none,42,0.7172314578005116,0.7047634271099744,0.7293797953964194,0.5105471098361183,0.4943840417152533,0.5263161779435543,0.4667949699688333,0.45081759935414956,0.48259569061350693,0.8254468729124045,0.8136199086218538,0.8365580546276649,0.5190173008054829,0.5029718766191289,0.5349319658619096,0.46689732228411723,0.45092311371575916,0.4827761724327015,0.809164883992861,0.7974126471582886,0.820569918664825,0.8350383631713555,0.80306905370844,0.8657289002557544,0.9028132992327366,0.8721227621483376,0.9309462915601023,0.1010230179028133,0.07225063938618925,0.13107416879795397,0.13682864450127877,0.10677749360613811,0.16879795396419436,0.289002557544757,0.21483375959079284,0.37084398976982097,0.289002557544757,0.21483375959079284,0.37084398976982097,0.0,0.0,0.0,0.9636506426360634,0.754911957766953,1.181869386385338,0.9636506426360634,0.754911957766953,1.181869386385338,0.0,0.0,0.0,0.0,0.0,0.0,0.440447957839262,0.39555917228551485,0.48631326048205825,0.11709679919398594,0.09131209796171431,0.14454777958614276,0.6926683716965023,0.6653878942881476,0.718670076726341,0.8371696504688833,0.804134697357204,0.8687127024722937,0.4418158567774937,0.3930093776641091,0.4910485933503837,391
llama-3.2-3b,dpo,balanced,retrieval_aware,dense,similar,1,on,none,42,0.6953324808184144,0.6817455242966752,0.709079283887468,0.41440073069819044,0.39608032094947243,0.4328313623372467,0.4170351883835344,0.39959967389264117,0.4349130036687516,0.6631983927524913,0.6496168519453625,0.67648573204532,0.42726556289854606,0.4084838052857239,0.44603174919650085,0.4291068649503296,0.41119465687409434,0.4473177542956109,0.6601006577691764,0.6463384580276811,0.6738820258156418,0.7941176470588235,0.760230179028133,0.8273657289002557,0.862531969309463,0.8292838874680307,0.8945012787723785,0.1489769820971867,0.1170076726342711,0.18286445012787725,0.13938618925831203,0.10741687979539642,0.17263427109974425,0.043478260869565216,0.02557544757033248,0.06649616368286446,3.368286445012788,3.0332480818414322,3.7186700767263425,3.3248081841432224,2.9923273657289005,3.6726342710997444,0.1686536276836375,0.08270395545889112,0.2736032089915241,12.320790762404679,11.345761014449556,13.286152327815351,12.152137134721041,11.177722448798594,13.107706967507323,0.7642074748212856,0.7219227348383361,0.8048115425353277,0.7938129929178523,0.7538047630119242,0.832572067034983,0.011813605547620896,0.005427678317703894,0.019839516834401747,0.6766837169650451,0.6496163682864431,0.7038789428814983,0.8020034100596759,0.7676896845694801,0.8358908780903668,0.4727195225916453,0.42284739982949704,0.5208866155157715,391
llama-3.2-3b,dpo,balanced,retrieval_aware,none,none,0,on,none,42,0.6437020460358056,0.6289961636828645,0.6585677749360613,0.4348280439371642,0.42016197337737476,0.449152399205989,0.5190174597123193,0.5017715411767542,0.5355232541994988,0.8457986226929423,0.8371750779468995,0.8539628090760897,0.44255877705000374,0.42783166634920744,0.4571758512335815,0.5227237043303156,0.5055688811813214,0.5394329665124045,0.8330965066123801,0.8240637656520394,0.8418080873806458,0.8746803069053708,0.8548593350383632,0.8938618925831202,0.9948849104859335,0.9891304347826086,0.9993606138107417,0.008951406649616368,0.0025575447570332483,0.016624040920716114,0.010230179028132993,0.004475703324808184,0.017263427109974423,0.24552429667519182,0.1867007672634271,0.309462915601023,0.24552429667519182,0.1867007672634271,0.309462915601023,0.0,0.0,0.0,1.4139194028132747,1.0780470504761122,1.783208986330607,1.4139194028132747,1.0780470504761122,1.783208986330607,0.0,0.0,0.0,0.0,0.0,0.0,0.3927505784922665,0.34882170259408124,0.4369687005236877,0.0957404701010839,0.07316404822798686,0.11979052490561447,0.7335890878090345,0.7134697357203725,0.7531969309462895,0.8991901108269397,0.8800085251491899,0.9177323103154308,0.392156862745098,0.3444160272804774,0.4398976982097187,391
llama-3.2-3b,dpo,balanced,retrieval_free,dense,similar,1,on,none,42,0.671994884910486,0.6577685421994884,0.6855818414322251,0.4979206477713724,0.479081237843864,0.5167812966038946,0.5517726511883589,0.5331556211921068,0.5702094567707271,0.8245413559477043,0.8114985008831219,0.8367001243564479,0.5052349013553624,0.4863411135562551,0.5242256965812858,0.5564639612937726,0.537669695432692,0.5752256295920781,0.8109028665992,0.7974258897173435,0.823588876925466,0.9386189258312021,0.921994884910486,0.9539641943734015,0.9782608695652174,0.9654731457800512,0.989769820971867,0.024936061381074168,0.01278772378516624,0.03836317135549872,0.024296675191815855,0.01278772378516624,0.0370843989769821,0.35805626598465473,0.28388746803069054,0.4373401534526854,1.350383631713555,1.1074168797953965,1.6138107416879794,0.9923273657289002,0.7698209718670077,1.2404092071611252,1.5824639164457612,1.2640995471288572,1.934530911993268,5.061741149321227,4.3532224231586865,5.796740908706213,3.479277232875465,2.8551650069149392,4.12359656834858,0.2767994154183412,0.23492266471806109,0.31937035683838744,0.5313192668371695,0.48621818292534413,0.5757900986481549,0.11573955669224212,0.0921340275240531,0.14093593959322862,0.7746376811594176,0.7557118499573706,0.7930093776641065,0.9477834612105714,0.9317988064791133,0.9622762148337597,0.4002557544757033,0.3520886615515772,0.4484228473998295,391
llama-3.2-3b,dpo,balanced,retrieval_free,none,none,0,on,none,42,0.646579283887468,0.6345907928388747,0.6587276214833759,0.47594587831041124,0.46043860481841964,0.49110158124121106,0.562953620868991,0.5475934806101697,0.5777055886907068,0.8620294609947887,0.8548034149057725,0.869097015741841,0.4842431490587703,0.4685160992722239,0.4996725170388707,0.5667615194024062,0.5512957333341906,0.5817359162607744,0.8466082114697723,0.838613099149426,0.8546249046350074,0.9450127877237852,0.9315856777493606,0.9578005115089514,0.9987212276214834,0.9968030690537084,1.0,0.0038363171355498722,0.0006393861892583121,0.008951406649616368,0.00319693094629156,0.0006393861892583121,0.00639386189258312,0.3248081841432225,0.2557544757033248,0.3989769820971867,0.3248081841432225,0.2557544757033248,0.3989769820971867,0.0,0.0,0.0,1.5363705761004318,1.2273883130275158,1.8703030275062043,1.5363705761004318,1.2273883130275158,1.8703030275062043,0.0,0.0,0.0,0.0,0.0,0.0,0.4070210692972841,0.36432834003166487,0.451619778346121,0.1275057849226647,0.10169894044574354,0.15516989404457437,0.7792412617220772,0.7613384484228444,0.7966751918158534,0.9592924126172211,0.9458653026427968,0.9714407502131287,0.38107416879795397,0.33248081841432225,0.4296675191815857,391
llama-3.2-3b,sft,none,none,dense,random,1,on,none,42,0.7423273657289002,0.7273017902813299,0.7570332480818415,0.5468202004350081,0.5283956377892649,0.5652007703276734,0.4903371326784963,0.4698246049606505,0.5104615371883616,0.7796314877584157,0.760101602300811,0.7980510819598537,0.5602801437931739,0.5419114747137322,0.5787533583747199,0.500839040330616,0.48014978446044626,0.5211353151880334,0.771419099834569,0.7523879206851315,0.790148117124577,0.5773657289002557,0.530690537084399,0.6234015345268542,0.5888746803069054,0.540920716112532,0.6349104859335039,0.4124040920716113,0.3663682864450128,0.45971867007672634,0.41304347826086957,0.3670076726342711,0.46035805626598464,3.4884910485933505,2.8312020460358056,4.245524296675192,5.240409207161125,4.570332480818414,6.0076726342711,1.751918158567775,1.5319693094629157,1.989769820971867,7.926848074289548,7.098687831586505,8.845330818575565,13.311687202478423,12.401003291902924,14.247968915545039,5.384839128188875,4.712558634298859,6.093027124818631,0.392624816952359,0.3573235204937737,0.42801517181312565,0.5205811000795805,0.48959267772830295,0.5516353602423028,0.4768613551633864,0.4454245477037716,0.5085456806375759,0.5626172208013642,0.5300511508951405,0.5942881500426257,0.5782182438192668,0.5319693094629157,0.6240409207161125,0.6670929241261722,0.6210571184995738,0.7131287297527708,391
llama-3.2-3b,sft,none,none,dense,similar,1,off,none,42,0.7640664961636828,0.7506393861892583,0.7774936061381074,0.6086154894111945,0.5909979834752093,0.6259725739261041,0.5470105657605733,0.5274811901326701,0.5663498092541197,0.8138472379930793,0.8015095763041845,0.8256709714374884,0.6226559009037923,0.6049897522541564,0.6400351646631998,0.5585843911239983,0.538977496189369,0.5783377231501913,0.8073407589931927,0.7950329340784751,0.8192154483874435,0.5671355498721228,0.520460358056266,0.6138107416879796,0.5748081841432225,0.5268542199488491,0.6221227621483376,0.4251918158567775,0.3778772378516624,0.4731457800511509,0.4264705882352941,0.37915601023017903,0.4744245524296675,1.4808184143222507,1.248081841432225,1.7672634271099745,4.7774936061381075,4.411764705882353,5.171355498721228,3.296675191815857,2.9820971867007673,3.6240409207161126,4.170513032211506,3.6492751850427934,4.701183226417279,14.133595671740087,13.253591066995417,15.041297342097815,9.963082639528578,9.091509913868435,10.866617952632508,0.6706418796421805,0.6355992523097981,0.705305256734473,0.7476942970774777,0.7188662999404685,0.7762439514583338,0.25230570292252263,0.22375604854166622,0.2811337000595315,0.5612958226768968,0.5288576300085249,0.5940750213128727,0.5694799658994032,0.5223785166240409,0.61615515771526,0.6751918158567775,0.629156010230179,0.7212276214833759,391
llama-3.2-3b,sft,none,none,dense,similar,1,on,hardmask,42,0.7635869565217391,0.7493606138107417,0.7773337595907929,0.5902165585626713,0.5718241977023559,0.6084228757489755,0.5435126525567845,0.5237606953605556,0.5632896810109141,0.8120215769923861,0.7987872599183446,0.8245181940553133,0.6079059391392931,0.5891922069671911,0.6261518669448758,0.5548670573563542,0.5346206607583701,0.5751781237646542,0.8025577651036669,0.7892078885718075,0.8152752385267517,0.5517902813299232,0.5044757033248082,0.59846547314578,0.5632992327365729,0.5159846547314578,0.610613810741688,0.4578005115089514,0.4117647058823529,0.5044757033248082,0.43861892583120204,0.391304347826087,0.4859335038363171,2.6675191815856776,2.4373401534526855,2.9539641943734014,2.6675191815856776,2.4373401534526855,2.9539641943734014,0.0,0.0,0.0,8.557886149081371,7.89539684062619,9.243116356843336,8.557886149081371,7.89539684062619,9.243116356843336,0.0,0.0,0.0,0.0,0.0,0.0,0.2363199389414223,0.20961559753119846,0.2639604640883414,0.7457772477593448,0.7168808883642642,0.7741880810295132,0.5528132992327368,0.5200341005967606,0.5854646206308609,0.5466751918158568,0.4997868712702473,0.5935635123614663,0.7135549872122762,0.6687979539641944,0.7561807331628303,391
llama-3.2-3b,sft,none,none,dense,similar,1,on,none,42,0.7634271099744245,0.7501598465473146,0.7763746803069054,0.6005752537817532,0.5824017742137202,0.6186240580224057,0.5487346154593761,0.5282660921328293,0.5688106989991815,0.8150143252919092,0.8021572328284573,0.8272873492497007,0.6154215954397559,0.5970157536515647,0.6336687937220604,0.5613863014915604,0.5404773070303291,0.5818117314645718,0.8067274246831684,0.7933527696925355,0.8194185311684523,0.5677749360613811,0.5210997442455243,0.6144501278772379,0.5754475703324808,0.5281329923273658,0.6227621483375959,0.42455242966751916,0.3772378516624041,0.4718670076726343,0.4264705882352941,0.37915601023017903,0.47378516624040923,1.5421994884910486,1.2864450127877238,1.8618925831202047,4.705882352941177,4.319693094629156,5.132992327365729,3.163682864450128,2.8542199488491047,3.4910485933503836,4.314211939377275,3.780071322092707,4.867518359429629,13.821439203797695,12.956890129521263,14.701737813157095,9.50722726442041,8.639076261701362,10.411768145285917,0.6497707003559268,0.6139019335310897,0.6856671485481083,0.7282982048124219,0.6989709524048322,0.7576272786104292,0.2691442504305451,0.24000909284119756,0.29862620705106036,0.5664961636828645,0.5338448422847405,0.5988917306052856,0.5722506393861891,0.5257885763000852,0.6189258312020459,0.6828644501278772,0.6368286445012787,0.7276214833759591,391
